Brand,ASIN,ItemModelNumber,Q,A,Votes,Date,Customer Name
iSpring,B008H71Q4C,ICEK,Are these products BPA free?,Yes,3," February 23, 2017",Imran Khan
iSpring,B008H71Q4C,ICEK,Will this work to install on an Amana refrigerator?,"Hi,Yes the ICEK accessory kit will work with most brands of refrigerators. Please let us know if you have any additional questions.Thank you,iSpring Water Systems LLC ",2," November 21, 2018",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Is this considered a gac system? will it remove pfas?,I did not purchase thru Amazon but I have this exact model from a big box store. The 2nd filter is a GAC filter the 3rd filter is a 5 micron filter. And yes it removes PFAS,2," January 8, 2023",Amazon Customer
iSpring,B008H71Q4C,ICEK,Does this connect to the waterline going to the fridge or somehow else?,"Hi,This is meant to connect from an RO system to the waterline for the refrigerator. If you have any questions or need additional assistance, please contact us at support@123filter.com or call us at (678) 261-7611.Thanks,iSpring Water Systems, LLC ",1," October 7, 2020",A manufacturer
iSpring,B008H71Q4C,ICEK,Do these fittings fit with bronson system,"Dear customer,The ice maker kit is compatible with any system that uses 1/4"" tubings. We hope this helps.iSpring Water Systems678-261-7611 support@ispringfilter.com ",1," August 29, 2018",Customer S.
iSpring,B008H71Q4C,ICEK,"Hi, does this inhibit limescale?","Hi,This system is for drinking water and cooking water only. For reduction of scale buildup we would recommend our whole house water filters, or ED2000 electronic descaler.Thank you,iSpring Water Systems LLC ",1," August 8, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,"Does this have the parts needed to hook up to the copper 1/4"" line at the refrigerator or does it only connect to plastic line?",It does not have any copper fitting parts only plastic push/pull fittings and there is not enough line to go over to the fridge. I bought a separate kit to go over to the fridge.,1," October 28, 2013",Lon D.
iSpring,B008H71Q4C,ICEK,Will this work on the alkanizing mineral to system?,Not sure what you're asking.,0," February 5, 2017",Mike Rush
iSpring,B008H71Q4C,ICEK,Can I run the line through my crawl space?,"Hi Anna,Thank you for asking that question. Yes, you can install it through your crawl space. One common issue though is losing pressure if the distance will exceed 15 feet. You may also want to make sure that the tubing is protected from anything that might destroy it. Please contact our customer service dept. at 678-261-7611 or via email at feedback@ispringfilter.com if you need immediate assistance.Kind Regards,iSpring Water SystemsTel: (678) 261-7611Email: feedback@ispringfilter.com ",0," September 19, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,Can I connect 1/4 inch water line from Refrigerator directly to water input line of my filtration which serve the faucet?,"Hi,Yes, you can connect your RO system directly to your fridge and use the refrigerator as the main source for your drinking water. If you have any questions or need additional assistance, please contact us at support@123filter.com or call us at (678) 261-7611.Thanks,iSpring Water Systems, LLC ",0," November 4, 2020",A manufacturer
iSpring,B008H71Q4C,ICEK,Will this filter setup lower my ppm?,It will not. You need a reverse osmosis system to lower TDS such as our RCC7AK.ISpring Water Systems,0," November 27, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Can i put a cto filter in all three compartments if i have city water?,"Hi there, The System is designed to have a sediment filter as 1st stage to protect the Carbon filters from clogging up too early. City water may still include small sediments that are hardly noticed by our naked eye.iSpring Water Systems, LLC",0," May 16, 2022",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,I took out the faucet and found steel rust at the outlet and inside. What should I do?,I would go ahead and put the appliance in. Drain the water at the shut off valve first.. The filters will clean up any rust.,0," April 14, 2021",harebear
iSpring,B008H71Q4C,ICEK,It seems like this 3 stage filter used to have gac and cto. what is the main reason for using ctos instead of gac and cto?,It lowers the price compared to products that really do include a GAC filter.,0," March 21, 2020",Ceesa
iSpring,B008H71Q4C,ICEK,"Will this remove haloacetic acids (haas)? if so, to what extent? thank you.","Hi,The system has not been certified to remove this particular contaminant. Water Treatment for Haloacetic Acids (HAA5) According to the EPA, pre-filtering water prior to disinfection treatment can effectively prevent the formation of haloacetic acids: The most effective way to reduce HAA concentrations is to remove the organic precursor compounds that result in the HAA formation.Thank you,iSpring Water Systems LLC ",0," March 20, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,Can this be connected to the water box valve for the refrigerator,"Connects any water filtration system (including reverse osmosis systems) to the ice maker or water dispenser of your fridgeDelivers crystal clear ice cubes and great tasting RO water to your fridge, superior to inline fridge filtersKit includes everything you need for the installation - approximately 20 feet of 1/4"" tubing, a 1/4"" x 1/4"" x 1/4"" ""T"" fitting, an inline 1/4"" x 1/4"" shut-off valve, and a compression fitting set. Tested by an independent third party to meet NSF/ANSI StandardsPush-in quick-connect fittings offer easy DIY installation with no tools requiredTested by an independent third party to meet NSF/ANSI StandardsIf you have other questions, please call us at 678-261-7611 (M-F, 8:30 - 5:30 EST), text us at 470-560-0012 (M-F, 8:30 - 5:30 EST), or email us at support@123filter.com. We are happy to help! ",0," December 19, 2022",Customer S.
iSpring,B008H71Q4C,ICEK,Can you hook up to the sink faucet,No. The system I purchased came with a separate faucet designed to be tapped into under sink cold water supply. I believe you can download instructions before you buy. Cheers.,0," April 16, 2021",Cap
iSpring,B008H71Q4C,ICEK,Is the tubing NSF certified for standard 61?,I'm trying to get info on the manufacturer of the tubing and fitting with a separate question. If the tubing is from John Guest then yes it is NSF 51 and 61 certified. That's the only tubing manufacturer I know it's NSF certified and I verified on NSF website. APEC do sell John Guest tubings so if you are looking for NSF certified tubings then I recommend going with them. If you look for APEC refrigerator tubing then it's sold by Amazon. ,0," August 2, 2022",Guy
iSpring,B008H71Q4C,ICEK,I would like to know does this equipement come with the key to change the filter,"Thank you for the question. The filters are unscrewed by a wrench that comes with the system.Kindest,iSpring Team ",0," May 1, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Will this work for a maytag fridge?,depends on your water connection on the back of fridge.,0," April 3, 2019","depends on your water connection on the back of fridge.
J. G. · April 3, 2019"
iSpring,B008H71Q4C,ICEK,"Can i get 3/4 connections? trying to replace one in an rv that was the fortress filtration triple stage 10"" x 2.5"" with 3/4 inch.",,0,,
iSpring,B008H71Q4C,ICEK,Would this fit a samsung refrigerator rs22t5201sr/aa?,Probably. Most refrigerators are uniform and this is a universal kit.,0," April 17, 2022",DB
iSpring,B008H71Q4C,ICEK,Will this connect to an existing refrigderator water supply? I need to add 30 feet of tubing due to the current location of refridgerator.,"Hi WVL,You can connect it to an existing fridge supply, but the 30 foot distance is stretching it a bit. Did you mean 30 feet total or adding 30 more feet to the 20 feet the ice kit comes with? The problem you would run into is low water pressure going to the fridge, the water is pressurized by the tank and it would struggle to send the water over these distances.If you wish to do this, I would suggest using a water delivery pump to boost the PSI coming out of the tank. Make sure you do not get a booster pump, which is used to raise the PSI going into the system, not out.All the best,AndrewiSpring Water Systems | (678) 261-7611 M-F 9-5 EST | sales@123filter.com ",0," February 11, 2016",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Can the line run behind my oven? The oven sits between my fridge and sink.,"Hi,Yes, but we would recommend installing the line away from the oven to avoid any temperature issues with the tubing.Thank you,iSpring Water Systems LLC ",0," April 1, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Will this filter remove iron and hard water?,"This product will not help remove iron or hard water. If you need to soften the water, you can consider using an under-sink reverse osmosis system or a whole house water softener instead. If you have any other questions we can help with, just give us a call at 678-261-7611.",0," July 6, 2018",A manufacturer
iSpring,B008H71Q4C,ICEK,can I hook it up to my current tank?,"Sorry, not sure what you mean by “current tank”. Water tank? Or did you have a “reverse os” system and want to use these filters with that tank? Please provide additional detail. If “rev os”, recommend you contact manuf.",0," October 21, 2022",Chris
iSpring,B008H71Q4C,ICEK,"We have a private well and have iron/rusty water as a result, does this filter system remove iron?","Hi,This system will remove any rust and iron particles bigger than 5 microns. For more details, please contact us at (678)261-7611.",0," January 3, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,do you have to use the plastic hose? I want to plub with stainless steel hose.,So there’s a valve the plastic hose goes in. That valve connect to two things. The output of your under sink water which feeds the filter and the other valve is the output for the hose. I want to run the output to my faucet water. But I can’t figure out how with the small whole designed for the small hose. I’m disappointed. I have to run it to my small drinking faucet. That’s the only thing that will receive this small hose. Any ideas would be appreciated ,0," January 1, 2020",Faith R Vanwert
iSpring,B008H71Q4C,ICEK,does filter remove PFAS contaminants?,"Hello,Unfortunately No. Reverse Osmosis proved to be the most effective methods of removing even the smallest PFASs. Granular activated carbon (GAC) was shown to be adept at removing most PFASs and it may be the average utility’s best bet for PFOA and PFOS contamination.",0," March 9, 2020",A manufacturer
iSpring,B008H71Q4C,ICEK,what kind of plastic it is made of?,"Hello,All of our under-the-counter RO systems use polypropylene plastic fittings, tubings, and housings. They are NSF Certified and do not contain BPA. Polypropylene plastics are considered highly safe and it is approved by the FDA and NSF for use with water and food storage.iSpring Water Systems, LLC ",0," January 3, 2022",Customer S.
iSpring,B008H71Q4C,ICEK,Will this connect to a subzero refrigerator that doesn't have a water dispenser?,"If the hose diameter is the same size, you should be OK. I like the fittings.",0," February 20, 2018",Ray Goodwin
